visit_id,member_id,venue_id,venue_name,venue_type,visit_date,market
VIS000097,M00055,V0269,Royal Game Zone,Arcade,2026-04-11,San Antonio
VIS000098,M00056,V0020,Sunny Amusement Park,Amusement Park,2025-10-11,Salt Lake City
VIS000099,M00056,V0020,Sunny Amusement Park,Amusement Park,2025-12-08,Salt Lake City
VIS000100,M00056,V0045,Royal Tag Arena,Laser Tag,2026-02-06,Salt Lake City
VIS000101,M00056,V0032,Grand Garden Park,Botanical Garden,2026-03-28,Salt Lake City
VIS000102,M00058,V0326,Sunny Aqua World,Water Park,2026-03-11,Idaho Falls
VIS000103,M00060,V0375,Star Safari Zone,Wildlife Park,2025-09-03,Fort Worth
VIS000104,M00060,V0372,Cool Trampoline Park,Trampoline Park,2025-09-11,Fort Worth
VIS000105,M00060,V0369,Super Bowl-O-Rama,Bowling,2025-12-09,Fort Worth
VIS000106,M00060,V0362,Big Play Palace,Arcade,2025-12-28,Fort Worth
VIS000107,M00060,V0371,Happy Tag Arena,Laser Tag,2026-02-03,Fort Worth
VIS000108,M00061,V0097,Wild Wildlife Center,Zoo,2025-05-20,Phoenix
VIS000109,M00061,V0074,Big Mini Golf,Mini Golf,2025-08-24,Phoenix
VIS000110,M00061,V0097,Wild Wildlife Center,Zoo,2025-10-06,Phoenix
VIS000111,M00061,V0047,Sunny Wildlife Park,Wildlife Park,2026-02-07,Phoenix
VIS000112,M00063,V0020,Sunny Amusement Park,Amusement Park,2025-11-19,Salt Lake City
VIS000113,M00063,V0020,Sunny Amusement Park,Amusement Park,2025-12-17,Salt Lake City
VIS000114,M00063,V0012,Super Ice Palace,Ice Skating,2026-03-26,Salt Lake City
VIS000115,M00064,V0311,Mega Bowl-O-Rama,Bowling,2025-06-10,Mesa
VIS000116,M00064,V0312,Adventure Jump Zone,Trampoline Park,2025-12-31,Mesa
VIS000117,M00065,V0081,Adventure STEM World,Science Center,2025-07-28,Phoenix
VIS000118,M00065,V0088,Grand Trampoline Park,Trampoline Park,2025-09-02,Phoenix
VIS000119,M00065,V0060,Adventure Botanical Garden,Botanical Garden,2025-11-13,Phoenix
VIS000120,M00065,V0052,Star Safari Zone,Wildlife Park,2025-12-31,Phoenix
VIS000121,M00065,V0052,Star Safari Zone,Wildlife Park,2026-02-23,Phoenix
VIS000122,M00065,V0087,Family Amusement Park,Amusement Park,2026-02-28,Phoenix
VIS000123,M00065,V0049,Super Aquarium,Aquarium,2026-03-02,Phoenix
VIS000124,M00065,V0074,Big Mini Golf,Mini Golf,2026-03-31,Phoenix
VIS000125,M00067,V0081,Adventure STEM World,Science Center,2025-12-18,Phoenix
VIS000126,M00067,V0081,Adventure STEM World,Science Center,2025-12-29,Phoenix
VIS000127,M00067,V0081,Adventure STEM World,Science Center,2026-02-18,Phoenix
VIS000128,M00068,V0058,Royal Amusement Park,Amusement Park,2025-08-29,Phoenix
VIS000129,M00071,V0094,Happy Aqua World,Water Park,2025-10-24,Phoenix
VIS000130,M00071,V0077,Mega Wildlife Park,Wildlife Park,2026-01-23,Phoenix
VIS000131,M00071,V0050,Lucky Arcade,Arcade,2026-03-30,Phoenix
VIS000132,M00072,V0231,Little Jump Zone,Trampoline Park,2026-01-29,Boise
VIS000133,M00075,V0021,Cool Museum,Museum,2025-09-17,Salt Lake City
VIS000134,M00075,V0033,Silver Escape Room,Escape Room,2025-10-14,Salt Lake City
VIS000135,M00075,V0033,Silver Escape Room,Escape Room,2025-11-17,Salt Lake City
VIS000136,M00075,V0021,Cool Museum,Museum,2025-11-20,Salt Lake City
VIS000137,M00075,V0007,Adventure Amusement Park,Amusement Park,2026-01-08,Salt Lake City
VIS000138,M00075,V0021,Cool Museum,Museum,2026-01-11,Salt Lake City
VIS000139,M00075,V0021,Cool Museum,Museum,2026-02-04,Salt Lake City
VIS000140,M00075,V0021,Cool Museum,Museum,2026-03-30,Salt Lake City
VIS000141,M00076,V0209,Cool Game Zone,Arcade,2025-07-12,Austin
VIS000142,M00076,V0217,Rainbow Speedway,Go-Karts,2025-08-12,Austin
VIS000143,M00076,V0211,Fun Sea Life Center,Aquarium,2025-08-30,Austin
VIS000144,M00076,V0190,Little Mini Golf,Mini Golf,2025-09-15,Austin
VIS000145,M00076,V0209,Cool Game Zone,Arcade,2025-12-09,Austin
VIS000146,M00076,V0211,Fun Sea Life Center,Aquarium,2026-04-02,Austin
VIS000147,M00078,V0319,Family Animal Park,Zoo,2026-02-25,Mesa
VIS000148,M00081,V0040,Super Wildlife Park,Wildlife Park,2025-11-12,Salt Lake City
VIS000149,M00082,V0211,Fun Sea Life Center,Aquarium,2026-02-14,Austin
VIS000150,M00083,V0261,Family Animal Park,Zoo,2025-07-11,San Antonio
VIS000151,M00083,V0261,Family Animal Park,Zoo,2025-09-01,San Antonio
VIS000152,M00083,V0261,Family Animal Park,Zoo,2025-09-21,San Antonio
VIS000153,M00083,V0279,Royal Escape Room,Escape Room,2025-09-27,San Antonio
VIS000154,M00083,V0280,Super Jump Zone,Trampoline Park,2025-11-16,San Antonio
VIS000155,M00083,V0274,Grand Ice Rink,Ice Skating,2026-01-24,San Antonio
VIS000156,M00083,V0265,Rainbow Ice Palace,Ice Skating,2026-02-23,San Antonio
VIS000157,M00084,V0302,Happy Aqua World,Water Park,2025-10-04,Provo
VIS000158,M00084,V0305,Adventure Splash Pad,Splash Pad,2025-10-08,Provo
VIS000159,M00084,V0291,Rainbow Wildlife Center,Zoo,2025-10-09,Provo
VIS000160,M00084,V0303,Family Laser Quest,Laser Tag,2025-11-07,Provo
VIS000161,M00084,V0301,Royal Batting Cages,Batting Cages,2025-11-29,Provo
VIS000162,M00084,V0300,Family Theme Park,Amusement Park,2026-01-20,Provo
VIS000163,M00084,V0301,Royal Batting Cages,Batting Cages,2026-02-02,Provo
VIS000164,M00084,V0299,Rainbow Movie House,Movie Theater,2026-03-17,Provo
VIS000165,M00085,V0108,Mega Discovery Lab,Science Center,2026-03-28,Dallas
VIS000166,M00087,V0251,Mega Swing Away,Batting Cages,2026-01-17,Tucson
VIS000167,M00088,V0099,Golden Water Park,Water Park,2026-03-10,Dallas
VIS000168,M00089,V0240,Super Jump Zone,Trampoline Park,2026-04-10,Boise
VIS000169,M00091,V0339,Star Amusement Park,Amusement Park,2025-11-17,El Paso
VIS000170,M00091,V0342,Adventure Amusement Park,Amusement Park,2026-02-03,El Paso
VIS000171,M00092,V0200,Rainbow Boulder Zone,Rock Climbing,2025-07-28,Austin
VIS000172,M00092,V0209,Cool Game Zone,Arcade,2025-09-15,Austin
VIS000173,M00092,V0190,Little Mini Golf,Mini Golf,2025-10-09,Austin
VIS000174,M00092,V0206,Wild Arcade,Arcade,2025-11-24,Austin
VIS000175,M00092,V0200,Rainbow Boulder Zone,Rock Climbing,2026-01-02,Austin
VIS000176,M00092,V0213,Star Water Play,Splash Pad,2026-02-04,Austin
VIS000177,M00092,V0200,Rainbow Boulder Zone,Rock Climbing,2026-02-15,Austin
VIS000178,M00092,V0188,Magic Putt-Putt,Mini Golf,2026-02-28,Austin
VIS000179,M00093,V0081,Adventure STEM World,Science Center,2025-10-21,Phoenix
VIS000180,M00096,V0299,Rainbow Movie House,Movie Theater,2025-06-28,Provo
VIS000181,M00097,V0224,Big Lanes,Bowling,2026-04-04,Boise
VIS000182,M00098,V0330,Fun Tag Arena,Laser Tag,2025-09-01,Idaho Falls
VIS000183,M00098,V0334,Silver Splash Zone,Water Park,2025-09-17,Idaho Falls
VIS000184,M00098,V0332,Happy Water Park,Water Park,2026-01-07,Idaho Falls
VIS000185,M00098,V0334,Silver Splash Zone,Water Park,2026-02-07,Idaho Falls
VIS000186,M00099,V0063,Golden Animal Park,Zoo,2025-10-28,Phoenix
VIS000187,M00099,V0087,Family Amusement Park,Amusement Park,2025-11-05,Phoenix
VIS000188,M00099,V0072,Super Water Play,Splash Pad,2025-11-12,Phoenix
VIS000189,M00099,V0063,Golden Animal Park,Zoo,2025-12-14,Phoenix
VIS000190,M00102,V0302,Happy Aqua World,Water Park,2026-03-17,Provo
VIS000191,M00106,V0254,Big Theme Park,Amusement Park,2026-04-01,Tucson
VIS000192,M00108,V0063,Golden Animal Park,Zoo,2026-04-07,Phoenix
VIS000193,M00110,V0044,Little Putt-Putt,Mini Golf,2026-04-09,Salt Lake City
VIS000194,M00111,V0198,Fun Bounce House,Trampoline Park,2026-03-11,Austin
VIS000195,M00113,V0237,Silver Fun Park,Amusement Park,2025-08-24,Boise
VIS000196,M00113,V0224,Big Lanes,Bowling,2025-11-01,Boise
VIS000197,M00113,V0222,Super Movie House,Movie Theater,2026-02-19,Boise
VIS000198,M00115,V0332,Happy Water Park,Water Park,2025-06-12,Idaho Falls
VIS000199,M00115,V0332,Happy Water Park,Water Park,2025-07-17,Idaho Falls
VIS000200,M00115,V0334,Silver Splash Zone,Water Park,2025-08-03,Idaho Falls
VIS000201,M00115,V0336,Mega Tag Arena,Laser Tag,2025-08-03,Idaho Falls
VIS000202,M00115,V0332,Happy Water Park,Water Park,2025-08-16,Idaho Falls
VIS000203,M00115,V0335,Family Rock Wall,Rock Climbing,2025-10-23,Idaho Falls
VIS000204,M00115,V0327,Royal Climbing Gym,Rock Climbing,2025-12-06,Idaho Falls
VIS000205,M00115,V0328,Golden Hit Zone,Batting Cages,2026-01-11,Idaho Falls
VIS000206,M00115,V0332,Happy Water Park,Water Park,2026-01-21,Idaho Falls
VIS000207,M00115,V0326,Sunny Aqua World,Water Park,2026-02-02,Idaho Falls
VIS000208,M00115,V0328,Golden Hit Zone,Batting Cages,2026-03-22,Idaho Falls
VIS000209,M00115,V0330,Fun Tag Arena,Laser Tag,2026-04-09,Idaho Falls
VIS000210,M00115,V0337,Magic Trampoline Park,Trampoline Park,2026-04-10,Idaho Falls
VIS000211,M00120,V0302,Happy Aqua World,Water Park,2025-12-22,Provo
VIS000212,M00120,V0294,Family Trampoline Park,Trampoline Park,2026-02-23,Provo
VIS000213,M00126,V0040,Super Wildlife Park,Wildlife Park,2025-10-24,Salt Lake City
VIS000214,M00126,V0031,Adventure Garden Park,Botanical Garden,2025-12-20,Salt Lake City
VIS000215,M00126,V0033,Silver Escape Room,Escape Room,2026-02-23,Salt Lake City
VIS000216,M00126,V0010,Happy Tag Arena,Laser Tag,2026-03-03,Salt Lake City
VIS000217,M00129,V0311,Mega Bowl-O-Rama,Bowling,2026-03-29,Mesa
VIS000218,M00130,V0229,Happy STEM World,Science Center,2026-01-15,Boise
VIS000219,M00131,V0038,Adventure Cinema,Movie Theater,2025-07-29,Salt Lake City
VIS000220,M00131,V0007,Adventure Amusement Park,Amusement Park,2026-01-22,Salt Lake City
VIS000221,M00135,V0099,Golden Water Park,Water Park,2025-05-27,Dallas
VIS000222,M00135,V0122,Big Splash Pad,Splash Pad,2025-07-25,Dallas
VIS000223,M00135,V0140,Silver Rock Wall,Rock Climbing,2025-08-06,Dallas
VIS000224,M00135,V0105,Wild Theme Park,Amusement Park,2026-02-13,Dallas
VIS000225,M00135,V0099,Golden Water Park,Water Park,2026-04-04,Dallas
VIS000226,M00136,V0040,Super Wildlife Park,Wildlife Park,2025-10-25,Salt Lake City
VIS000227,M00136,V0007,Adventure Amusement Park,Amusement Park,2025-11-14,Salt Lake City
VIS000228,M00136,V0036,Fun Putt-Putt,Mini Golf,2025-12-03,Salt Lake City
VIS000229,M00138,V0302,Happy Aqua World,Water Park,2025-11-12,Provo
VIS000230,M00139,V0123,Little Aquarium,Aquarium,2025-10-29,Dallas
VIS000231,M00139,V0134,Royal Movie House,Movie Theater,2025-12-15,Dallas
VIS000232,M00139,V0130,Royal Water Park,Water Park,2026-03-02,Dallas
VIS000233,M00139,V0130,Royal Water Park,Water Park,2026-04-04,Dallas
VIS000234,M00144,V0296,Fun Nature Center,Botanical Garden,2026-03-28,Provo
VIS000235,M00145,V0239,Rainbow Golf Garden,Mini Golf,2026-01-06,Boise
VIS000236,M00145,V0237,Silver Fun Park,Amusement Park,2026-01-07,Boise
VIS000237,M00145,V0239,Rainbow Golf Garden,Mini Golf,2026-01-21,Boise
VIS000238,M00146,V0311,Mega Bowl-O-Rama,Bowling,2026-02-26,Mesa
VIS000239,M00148,V0021,Cool Museum,Museum,2026-01-29,Salt Lake City
VIS000240,M00154,V0283,Wild Fun Park,Amusement Park,2025-10-11,San Antonio
VIS000241,M00154,V0288,Happy Swing Away,Batting Cages,2026-02-02,San Antonio
VIS000242,M00154,V0271,Epic Puzzle House,Escape Room,2026-04-10,San Antonio
VIS000243,M00155,V0036,Fun Putt-Putt,Mini Golf,2025-12-19,Salt Lake City
VIS000244,M00157,V0040,Super Wildlife Park,Wildlife Park,2025-07-24,Salt Lake City
VIS000245,M00157,V0014,Family Play Palace,Arcade,2026-01-10,Salt Lake City
VIS000246,M00157,V0038,Adventure Cinema,Movie Theater,2026-03-25,Salt Lake City
VIS000247,M00158,V0328,Golden Hit Zone,Batting Cages,2025-11-14,Idaho Falls
VIS000248,M00158,V0328,Golden Hit Zone,Batting Cages,2026-01-26,Idaho Falls
VIS000249,M00161,V0132,Rainbow Swing Away,Batting Cages,2026-03-14,Dallas
VIS000250,M00162,V0254,Big Theme Park,Amusement Park,2025-10-24,Tucson
VIS000251,M00162,V0258,Little Aquarium,Aquarium,2025-11-28,Tucson
VIS000252,M00162,V0255,Big Play Palace,Arcade,2025-11-30,Tucson
VIS000253,M00162,V0255,Big Play Palace,Arcade,2026-01-30,Tucson
VIS000254,M00162,V0254,Big Theme Park,Amusement Park,2026-02-23,Tucson
VIS000255,M00162,V0255,Big Play Palace,Arcade,2026-03-13,Tucson
VIS000256,M00165,V0044,Little Putt-Putt,Mini Golf,2026-03-23,Salt Lake City
VIS000257,M00166,V0148,Wild Skating Center,Ice Skating,2025-06-25,Houston
VIS000258,M00166,V0182,Golden Ocean World,Aquarium,2025-08-04,Houston
VIS000259,M00166,V0180,Sunny Cinema,Movie Theater,2025-08-06,Houston
VIS000260,M00166,V0162,Little Wildlife Center,Zoo,2025-09-02,Houston
VIS000261,M00166,V0156,Family Arcade,Arcade,2025-09-05,Houston
VIS000262,M00166,V0151,Fun Rock Wall,Rock Climbing,2025-11-29,Houston
VIS000263,M00166,V0148,Wild Skating Center,Ice Skating,2025-12-03,Houston
VIS000264,M00166,V0155,Family Nature Center,Botanical Garden,2026-01-19,Houston
VIS000265,M00166,V0148,Wild Skating Center,Ice Skating,2026-02-04,Houston
VIS000266,M00166,V0164,Cool Wildlife Park,Wildlife Park,2026-02-26,Houston
VIS000267,M00166,V0178,Sunny Amusement Park,Amusement Park,2026-03-12,Houston
VIS000268,M00170,V0240,Super Jump Zone,Trampoline Park,2025-12-26,Boise
VIS000269,M00170,V0227,Lucky Ice Rink,Ice Skating,2026-02-13,Boise
VIS000270,M00171,V0177,Big Fun Park,Amusement Park,2025-10-25,Houston
VIS000271,M00171,V0164,Cool Wildlife Park,Wildlife Park,2025-11-25,Houston
VIS000272,M00171,V0166,Family Safari Zone,Wildlife Park,2026-01-18,Houston
VIS000273,M00171,V0171,Magic Nature Center,Botanical Garden,2026-02-25,Houston
VIS000274,M00172,V0036,Fun Putt-Putt,Mini Golf,2025-06-22,Salt Lake City
VIS000275,M00172,V0018,Super Theme Park,Amusement Park,2025-09-16,Salt Lake City
VIS000276,M00172,V0024,Royal Ice Rink,Ice Skating,2025-09-24,Salt Lake City
VIS000277,M00172,V0014,Family Play Palace,Arcade,2025-11-15,Salt Lake City
VIS000278,M00172,V0007,Adventure Amusement Park,Amusement Park,2026-01-02,Salt Lake City
VIS000279,M00172,V0038,Adventure Cinema,Movie Theater,2026-01-19,Salt Lake City
VIS000280,M00172,V0005,Adventure Spray Park,Splash Pad,2026-02-10,Salt Lake City
VIS000281,M00172,V0010,Happy Tag Arena,Laser Tag,2026-02-19,Salt Lake City
VIS000282,M00172,V0042,Sunny Cinema,Movie Theater,2026-04-07,Salt Lake City
VIS000283,M00173,V0327,Royal Climbing Gym,Rock Climbing,2026-01-14,Idaho Falls
VIS000284,M00173,V0335,Family Rock Wall,Rock Climbing,2026-03-03,Idaho Falls
VIS000285,M00173,V0336,Mega Tag Arena,Laser Tag,2026-03-04,Idaho Falls
VIS000286,M00173,V0332,Happy Water Park,Water Park,2026-03-10,Idaho Falls
VIS000287,M00173,V0336,Mega Tag Arena,Laser Tag,2026-03-29,Idaho Falls
VIS000288,M00173,V0332,Happy Water Park,Water Park,2026-04-11,Idaho Falls
VIS000289,M00174,V0301,Royal Batting Cages,Batting Cages,2026-04-03,Provo
VIS000290,M00175,V0015,Super Escape Room,Escape Room,2025-06-30,Salt Lake City
VIS000291,M00175,V0038,Adventure Cinema,Movie Theater,2025-10-13,Salt Lake City
VIS000292,M00175,V0038,Adventure Cinema,Movie Theater,2026-03-05,Salt Lake City
VIS000293,M00179,V0261,Family Animal Park,Zoo,2025-07-17,San Antonio
VIS000294,M00179,V0281,Wild Climbing Gym,Rock Climbing,2025-08-05,San Antonio
VIS000295,M00179,V0276,Cool Mystery Room,Escape Room,2025-08-22,San Antonio
VIS000296,M00179,V0281,Wild Climbing Gym,Rock Climbing,2025-10-06,San Antonio
VIS000297,M00179,V0283,Wild Fun Park,Amusement Park,2025-10-28,San Antonio
VIS000298,M00179,V0267,Royal Fun Park,Amusement Park,2025-11-10,San Antonio
VIS000299,M00179,V0286,Golden Ocean World,Aquarium,2026-01-12,San Antonio
VIS000300,M00179,V0273,Little Nature Reserve,Wildlife Park,2026-02-07,San Antonio
VIS000301,M00179,V0269,Royal Game Zone,Arcade,2026-02-09,San Antonio
VIS000302,M00179,V0278,Mega Bounce House,Trampoline Park,2026-02-11,San Antonio
VIS000303,M00181,V0308,Big Aquarium,Aquarium,2025-12-19,Mesa
VIS000304,M00181,V0312,Adventure Jump Zone,Trampoline Park,2025-12-21,Mesa
VIS000305,M00182,V0043,Silver Splash Pad,Splash Pad,2025-10-07,Salt Lake City
VIS000306,M00182,V0027,Fun Ocean World,Aquarium,2025-10-09,Salt Lake City
VIS000307,M00182,V0020,Sunny Amusement Park,Amusement Park,2025-10-18,Salt Lake City
VIS000308,M00182,V0043,Silver Splash Pad,Splash Pad,2025-11-04,Salt Lake City
VIS000309,M00182,V0019,Cool Botanical Garden,Botanical Garden,2025-12-10,Salt Lake City
VIS000310,M00182,V0043,Silver Splash Pad,Splash Pad,2025-12-14,Salt Lake City
VIS000311,M00182,V0045,Royal Tag Arena,Laser Tag,2025-12-27,Salt Lake City
VIS000312,M00182,V0025,Sunny Ocean World,Aquarium,2026-03-30,Salt Lake City
VIS000313,M00184,V0132,Rainbow Swing Away,Batting Cages,2025-08-03,Dallas
VIS000314,M00184,V0125,Rainbow Cinema,Movie Theater,2025-08-29,Dallas
VIS000315,M00184,V0125,Rainbow Cinema,Movie Theater,2025-10-09,Dallas
VIS000316,M00185,V0096,Wild Aquarium,Aquarium,2025-09-29,Phoenix
VIS000317,M00185,V0089,Silver Garden Park,Botanical Garden,2025-11-19,Phoenix
VIS000318,M00185,V0089,Silver Garden Park,Botanical Garden,2025-11-29,Phoenix
VIS000319,M00185,V0055,Mega Museum,Museum,2026-01-29,Phoenix
VIS000320,M00186,V0256,Big Ice Palace,Ice Skating,2025-09-17,Tucson
VIS000321,M00186,V0244,Royal Bounce House,Trampoline Park,2026-01-17,Tucson
VIS000322,M00186,V0251,Mega Swing Away,Batting Cages,2026-03-27,Tucson
VIS000323,M00187,V0007,Adventure Amusement Park,Amusement Park,2025-08-01,Salt Lake City
VIS000324,M00187,V0025,Sunny Ocean World,Aquarium,2025-11-07,Salt Lake City
