snapshot_date,member_id,total_visits,last_visit_date,segment
2026-01-17,M00359,1,2025-12-19,New Member
2026-01-17,M00360,0,,Ghost
2026-01-17,M00361,1,2025-12-13,New Member
2026-01-17,M00363,1,2025-08-26,One-and-Done
2026-01-17,M00366,0,,Ghost
2026-01-17,M00367,1,2025-12-03,One-and-Done
2026-01-17,M00369,2,2026-01-16,Approaching Threshold
2026-01-17,M00370,1,2025-12-15,New Member
2026-01-17,M00374,1,2026-01-01,New Member
2026-01-17,M00375,5,2025-12-22,In the Zone
2026-01-17,M00376,0,,Ghost
2026-01-17,M00377,1,2025-12-21,New Member
2026-01-17,M00378,1,2025-12-14,New Member
2026-01-17,M00379,1,2025-12-09,New Member
2026-01-17,M00380,0,,Ghost
2026-01-17,M00381,1,2025-06-26,One-and-Done
2026-01-17,M00383,1,2026-01-07,New Member
2026-01-17,M00384,0,,New Member
2026-01-17,M00385,0,,Ghost
2026-01-17,M00387,0,,Ghost
2026-01-17,M00388,0,,Ghost
2026-01-17,M00389,0,,Ghost
2026-01-17,M00390,2,2025-12-07,Approaching Threshold
2026-01-17,M00391,0,,Ghost
2026-01-17,M00392,0,,Ghost
2026-01-17,M00393,2,2025-12-30,Approaching Threshold
2026-01-17,M00394,0,,Ghost
2026-01-17,M00396,0,,Ghost
2026-01-17,M00397,0,,Ghost
2026-01-17,M00399,6,2025-12-23,In the Zone
2026-01-17,M00400,4,2025-11-19,In the Zone
2026-01-17,M00401,1,2026-01-16,New Member
2026-01-17,M00402,3,2025-12-03,Approaching Threshold
2026-01-17,M00403,0,,Ghost
2026-01-17,M00404,0,,Ghost
2026-01-17,M00405,3,2025-12-23,Approaching Threshold
2026-01-17,M00406,0,,Ghost
2026-01-17,M00408,3,2026-01-16,Approaching Threshold
2026-01-17,M00410,8,2026-01-13,In the Zone
2026-01-17,M00411,0,,Ghost
2026-01-17,M00412,0,,Ghost
2026-01-17,M00413,1,2025-09-24,One-and-Done
2026-01-17,M00414,0,,Ghost
2026-01-17,M00415,1,2025-10-13,One-and-Done
2026-01-17,M00417,3,2025-10-27,Approaching Threshold
2026-01-17,M00418,3,2025-11-06,Approaching Threshold
2026-01-17,M00419,0,,Ghost
2026-01-17,M00420,0,,Ghost
2026-01-17,M00421,2,2025-10-22,Approaching Threshold
2026-01-17,M00423,0,,Ghost
2026-01-17,M00424,0,,Ghost
2026-01-17,M00426,3,2025-12-20,Approaching Threshold
2026-01-17,M00427,0,,New Member
2026-01-17,M00428,0,,New Member
2026-01-17,M00429,1,2025-08-31,One-and-Done
2026-01-17,M00430,0,,Ghost
2026-01-17,M00432,4,2026-01-07,In the Zone
2026-01-17,M00437,0,,New Member
2026-01-17,M00438,8,2025-12-23,In the Zone
2026-01-17,M00439,3,2025-12-17,Approaching Threshold
2026-01-17,M00440,0,,Ghost
2026-01-17,M00442,1,2025-06-21,One-and-Done
2026-01-17,M00443,0,,New Member
2026-01-17,M00445,0,,Ghost
2026-01-17,M00446,1,2026-01-03,New Member
2026-01-17,M00447,1,2025-10-24,One-and-Done
2026-01-17,M00449,8,2026-01-04,In the Zone
2026-01-17,M00450,0,,Ghost
2026-01-17,M00452,0,,Ghost
2026-01-17,M00453,8,2025-12-06,In the Zone
2026-01-17,M00454,0,,Ghost
2026-01-17,M00455,0,,Ghost
2026-01-17,M00456,7,2026-01-17,In the Zone
2026-01-17,M00457,2,2025-12-27,Approaching Threshold
2026-01-17,M00458,1,2025-10-19,One-and-Done
2026-01-17,M00460,1,2026-01-05,New Member
2026-01-17,M00461,4,2025-12-01,In the Zone
2026-01-17,M00462,1,2025-12-15,New Member
2026-01-17,M00463,3,2026-01-07,Approaching Threshold
2026-01-17,M00464,1,2025-12-01,One-and-Done
2026-01-17,M00465,0,,Ghost
2026-01-17,M00466,4,2025-11-17,In the Zone
2026-01-17,M00467,1,2025-09-20,One-and-Done
2026-01-17,M00470,6,2026-01-01,In the Zone
2026-01-17,M00471,11,2025-12-22,Power User
2026-01-17,M00472,9,2025-12-07,In the Zone
2026-01-17,M00473,4,2025-08-28,In the Zone
2026-01-17,M00475,4,2026-01-03,In the Zone
2026-01-17,M00476,4,2025-11-28,In the Zone
2026-01-17,M00479,2,2026-01-09,Approaching Threshold
2026-01-17,M00480,2,2025-10-07,Approaching Threshold
2026-01-17,M00481,1,2025-07-04,One-and-Done
2026-01-17,M00482,3,2026-01-16,Approaching Threshold
2026-01-17,M00483,1,2025-06-08,One-and-Done
2026-01-17,M00484,2,2026-01-02,Approaching Threshold
2026-01-17,M00485,0,,Ghost
2026-01-17,M00486,5,2026-01-01,In the Zone
2026-01-17,M00489,7,2026-01-11,In the Zone
2026-01-17,M00490,0,,Ghost
2026-01-17,M00493,0,,Ghost
2026-01-17,M00494,3,2025-12-10,Approaching Threshold
2026-01-17,M00495,1,2025-11-10,One-and-Done
2026-01-17,M00496,0,,Ghost
2026-01-17,M00497,0,,Ghost
2026-01-17,M00498,0,,Ghost
2026-01-17,M00499,5,2025-11-19,In the Zone
2026-01-17,M00500,1,2025-10-02,One-and-Done
2026-01-17,M00502,1,2025-11-02,One-and-Done
2026-01-17,M00503,0,,Ghost
2026-01-17,M00504,6,2025-12-20,In the Zone
2026-01-17,M00505,0,,Ghost
2026-01-17,M00507,6,2026-01-13,In the Zone
2026-01-17,M00508,0,,Ghost
2026-01-17,M00510,0,,Ghost
2026-01-17,M00511,1,2025-11-06,One-and-Done
2026-01-17,M00512,2,2025-12-30,Approaching Threshold
2026-01-17,M00514,0,,Ghost
2026-01-17,M00515,0,,New Member
2026-01-17,M00517,0,,Ghost
2026-01-17,M00518,1,2025-07-04,One-and-Done
2026-01-17,M00519,1,2025-07-07,One-and-Done
2026-01-17,M00520,1,2025-07-21,One-and-Done
2026-01-17,M00521,1,2025-10-19,One-and-Done
2026-01-17,M00524,0,,Ghost
2026-01-17,M00525,0,,Ghost
2026-01-17,M00527,7,2026-01-15,In the Zone
2026-01-17,M00528,0,,Ghost
2026-01-17,M00531,2,2025-12-13,Approaching Threshold
2026-01-17,M00533,0,,Ghost
2026-01-17,M00534,2,2025-12-21,Approaching Threshold
2026-01-17,M00535,0,,Ghost
2026-01-17,M00536,0,,Ghost
2026-01-17,M00540,7,2026-01-09,In the Zone
2026-01-17,M00543,4,2025-11-28,In the Zone
2026-01-17,M00545,5,2025-12-15,In the Zone
2026-01-17,M00546,8,2025-12-09,In the Zone
2026-01-17,M00547,0,,Ghost
2026-01-17,M00548,1,2025-08-27,One-and-Done
2026-01-17,M00549,3,2026-01-13,Approaching Threshold
2026-01-17,M00550,1,2025-12-18,New Member
2026-01-17,M00552,5,2025-12-01,In the Zone
2026-01-17,M00553,0,,Ghost
2026-01-17,M00554,0,,Ghost
2026-01-17,M00555,1,2026-01-01,New Member
2026-01-17,M00556,2,2025-11-06,Approaching Threshold
2026-01-17,M00557,1,2025-11-15,One-and-Done
2026-01-17,M00558,0,,Ghost
2026-01-17,M00559,3,2026-01-12,Approaching Threshold
2026-01-17,M00561,2,2026-01-10,Approaching Threshold
2026-01-17,M00562,0,,Ghost
2026-01-17,M00563,0,,Ghost
2026-01-17,M00564,0,,Ghost
2026-01-17,M00565,1,2025-11-18,One-and-Done
2026-01-17,M00566,5,2025-12-26,In the Zone
2026-01-17,M00567,3,2025-12-30,Approaching Threshold
2026-01-17,M00568,3,2025-10-31,Approaching Threshold
2026-01-17,M00569,3,2025-12-09,Approaching Threshold
2026-01-17,M00570,0,,Ghost
2026-01-17,M00572,2,2025-12-31,Approaching Threshold
2026-01-17,M00573,1,2025-10-14,One-and-Done
2026-01-17,M00576,10,2026-01-08,In the Zone
2026-01-17,M00578,1,2025-11-23,One-and-Done
2026-01-17,M00579,0,,Ghost
2026-01-17,M00581,2,2025-12-16,Approaching Threshold
2026-01-17,M00582,2,2025-07-01,Approaching Threshold
2026-01-17,M00583,5,2025-12-10,In the Zone
2026-01-17,M00584,0,,Ghost
2026-01-17,M00586,3,2025-12-24,Approaching Threshold
2026-01-17,M00587,2,2025-12-21,Approaching Threshold
2026-01-17,M00588,2,2026-01-09,Approaching Threshold
2026-01-17,M00589,0,,Ghost
2026-01-17,M00590,2,2026-01-17,Approaching Threshold
2026-01-17,M00591,4,2025-12-09,In the Zone
2026-01-17,M00593,1,2025-09-09,One-and-Done
2026-01-17,M00594,5,2026-01-15,In the Zone
2026-01-17,M00595,1,2026-01-01,New Member
2026-01-17,M00596,1,2025-11-22,One-and-Done
2026-01-17,M00597,1,2025-06-27,One-and-Done
2026-01-17,M00598,1,2025-10-23,One-and-Done
2026-01-17,M00600,0,,New Member
2026-01-17,M00601,0,,Ghost
2026-01-17,M00602,5,2025-09-06,In the Zone
2026-01-17,M00603,0,,Ghost
2026-01-17,M00605,2,2025-08-16,Approaching Threshold
2026-01-17,M00606,0,,Ghost
2026-01-17,M00607,3,2025-12-08,Approaching Threshold
2026-01-17,M00608,1,2025-12-09,New Member
2026-01-17,M00612,0,,Ghost
2026-01-17,M00613,0,,Ghost
2026-01-17,M00614,0,,Ghost
2026-01-17,M00615,0,,Ghost
2026-01-17,M00616,0,,Ghost
2026-01-17,M00617,1,2025-10-01,One-and-Done
2026-01-17,M00618,1,2025-12-16,New Member
2026-01-17,M00619,2,2025-11-14,Approaching Threshold
2026-01-17,M00621,0,,Ghost
2026-01-17,M00622,1,2025-09-26,One-and-Done
2026-01-17,M00623,1,2025-07-27,One-and-Done
2026-01-17,M00624,1,2025-12-10,New Member
2026-01-17,M00625,0,,New Member
2026-01-17,M00628,0,,New Member
2026-01-17,M00629,0,,Ghost
2026-01-17,M00630,0,,New Member
2026-01-17,M00631,1,2025-11-05,One-and-Done
2026-01-17,M00632,0,,Ghost
2026-01-17,M00634,7,2026-01-17,In the Zone
2026-01-17,M00635,0,,New Member
2026-01-17,M00636,0,,New Member
2026-01-17,M00637,0,,Ghost
2026-01-17,M00638,0,,Ghost
2026-01-17,M00639,0,,Ghost
2026-01-17,M00640,6,2025-11-24,In the Zone
2026-01-17,M00641,0,,Ghost
2026-01-17,M00642,1,2025-11-13,One-and-Done
2026-01-17,M00643,1,2025-12-31,New Member
2026-01-17,M00645,0,,Ghost
2026-01-17,M00646,1,2025-09-07,One-and-Done
2026-01-17,M00647,1,2025-07-30,One-and-Done
2026-01-17,M00649,0,,Ghost
2026-01-17,M00650,0,,Ghost
2026-01-17,M00651,2,2025-12-04,Approaching Threshold
2026-01-17,M00652,2,2025-12-21,Approaching Threshold
2026-01-17,M00653,0,,Ghost
2026-01-17,M00654,0,,Ghost
2026-01-17,M00656,0,,Ghost
2026-01-17,M00657,0,,Ghost
2026-01-17,M00658,4,2026-01-13,In the Zone
2026-01-17,M00659,2,2025-11-24,Approaching Threshold
2026-01-17,M00660,0,,Ghost
2026-01-17,M00661,0,,Ghost
2026-01-17,M00662,0,,Ghost
2026-01-17,M00664,0,,Ghost
2026-01-17,M00665,0,,Ghost
2026-01-17,M00667,0,,Ghost
2026-01-17,M00668,4,2026-01-17,In the Zone
2026-01-17,M00670,8,2026-01-09,In the Zone
2026-01-17,M00671,1,2025-07-09,One-and-Done
2026-01-17,M00672,0,,Ghost
2026-01-17,M00673,7,2026-01-04,In the Zone
2026-01-17,M00675,1,2025-12-08,New Member
2026-01-17,M00676,3,2026-01-15,Approaching Threshold
2026-01-17,M00677,6,2025-12-04,In the Zone
2026-01-17,M00678,5,2025-12-27,In the Zone
2026-01-17,M00679,1,2025-09-14,One-and-Done
2026-01-17,M00680,6,2025-11-18,In the Zone
2026-01-17,M00683,6,2026-01-08,In the Zone
2026-01-17,M00686,2,2026-01-16,Approaching Threshold
2026-01-17,M00688,4,2025-12-28,In the Zone
2026-01-17,M00689,0,,Ghost
2026-01-17,M00690,4,2025-10-31,In the Zone
2026-01-17,M00691,0,,Ghost
2026-01-17,M00692,1,2025-11-28,One-and-Done
2026-01-17,M00693,2,2026-01-03,Approaching Threshold
2026-01-17,M00694,7,2026-01-01,In the Zone
2026-01-17,M00695,1,2025-12-11,New Member
2026-01-17,M00696,8,2025-12-13,In the Zone
2026-01-17,M00697,1,2026-01-02,New Member
2026-01-17,M00698,0,,Ghost
2026-01-17,M00699,2,2025-12-02,Approaching Threshold
2026-01-17,M00701,5,2025-12-13,In the Zone
2026-01-17,M00702,5,2026-01-10,In the Zone
2026-01-17,M00703,2,2025-12-25,Approaching Threshold
2026-01-17,M00704,1,2025-12-17,New Member
2026-01-17,M00705,8,2026-01-16,In the Zone
2026-01-17,M00706,0,,Ghost
2026-01-17,M00707,1,2025-10-07,One-and-Done
2026-01-17,M00709,0,,Ghost
2026-01-17,M00710,0,,Ghost
2026-01-17,M00712,0,,Ghost
2026-01-17,M00713,0,,New Member
2026-01-17,M00714,0,,Ghost
2026-01-17,M00715,3,2025-11-11,Approaching Threshold
2026-01-17,M00717,3,2026-01-01,Approaching Threshold
2026-01-17,M00718,0,,Ghost
2026-01-17,M00719,3,2025-09-06,Approaching Threshold
2026-01-17,M00720,1,2026-01-10,New Member
2026-01-17,M00721,4,2025-08-05,In the Zone
2026-01-17,M00723,0,,Ghost
2026-01-17,M00724,2,2025-11-19,Approaching Threshold
2026-01-17,M00727,0,,Ghost
2026-01-17,M00728,2,2025-11-17,Approaching Threshold
2026-01-17,M00729,0,,Ghost
2026-01-17,M00730,2,2025-12-31,Approaching Threshold
2026-01-17,M00731,1,2025-12-16,New Member
2026-01-17,M00733,3,2025-11-21,Approaching Threshold
2026-01-17,M00734,0,,Ghost
2026-01-17,M00735,1,2025-12-06,New Member
2026-01-17,M00736,0,,Ghost
2026-01-17,M00737,5,2026-01-01,In the Zone
2026-01-17,M00738,3,2025-12-23,Approaching Threshold
2026-01-17,M00739,5,2025-11-28,In the Zone
2026-01-17,M00741,1,2026-01-15,New Member
2026-01-17,M00742,2,2025-10-27,Approaching Threshold
2026-01-17,M00743,0,,New Member
2026-01-17,M00744,3,2025-11-26,Approaching Threshold
2026-01-17,M00745,6,2026-01-15,In the Zone
2026-01-17,M00746,0,,New Member
2026-01-17,M00747,0,,Ghost
2026-01-17,M00748,0,,Ghost
2026-01-17,M00749,0,,Ghost
2026-01-17,M00751,1,2026-01-10,New Member
2026-01-17,M00752,0,,Ghost
2026-01-17,M00753,0,,New Member
2026-01-17,M00754,0,,New Member
2026-01-17,M00756,2,2026-01-03,Approaching Threshold
2026-01-17,M00758,0,,Ghost
2026-01-17,M00759,2,2025-11-15,Approaching Threshold
2026-01-17,M00760,1,2026-01-13,New Member
2026-01-17,M00761,2,2026-01-03,Approaching Threshold
2026-01-17,M00763,4,2026-01-11,In the Zone
2026-01-17,M00764,2,2026-01-05,Approaching Threshold
2026-01-17,M00765,0,,Ghost
2026-01-17,M00766,1,2025-11-19,One-and-Done
2026-01-17,M00768,8,2025-12-31,In the Zone
2026-01-17,M00769,9,2025-12-21,In the Zone
